135

5 121 135 20

1	21	1
2	20	1
3	19	1
4	18	1
5	17	1
6	16	1
7	15	1
8	14	1
9	13	1
10	12	1
11	11	1
12	10	1
13	8	1
14	7	1
15	6	1
16	5	1
17	4	1
18	3	1
19	2	1
20	1	1
21	1	2
22	2	2
23	3	2
24	4	2
25	5	2
26	6	2
27	7	2
28	8	2
29	10	2
30	11	2
31	12	2
32	13	2
33	14	2
34	15	2
35	16	2
36	17	2
37	18	2
38	19	2
39	20	2
40	21	2
41	21	4
42	20	4
43	19	4
44	18	4
45	17	4
46	16	4
47	15	4
48	14	4
49	13	4
50	12	4
51	11	4
52	10	4
53	8	4
54	7	4
55	6	4
56	5	4
57	4	4
58	3	4
59	2	4
60	1	4
61	1	5
62	2	5
63	3	5
64	4	5
65	5	5
66	6	5
67	7	5
68	8	5
69	10	5
70	11	5
71	12	5
72	13	5
73	14	5
74	15	5
75	16	5
76	17	5
77	18	5
78	19	5
79	20	5
80	21	5
81	21	7
82	20	7
83	19	7
84	18	7
85	17	7
86	16	7
87	15	7
88	14	7
89	13	7
90	12	7
91	11	7
92	10	7
93	8	7
94	7	7
95	6	7
96	5	7
97	4	7
98	3	7
99	2	7
100	1	7
101	1	8
102	2	8
103	3	8
104	4	8
105	5	8
106	6	8
107	7	8
108	8	8
109	10	8
110	11	8
111	12	8
112	13	8
113	14	8
114	15	8
115	16	8
116	17	8
117	18	8
118	19	8
119	20	8
120	21	8
121	17	10
122	16	10
123	15	10
124	13	10
125	12	10
126	11	10
127	10	10
128	8	10
129	7	10
130	6	10
131	5	10
132	4	10
133	3	10
134	2	10
135	1	10
